Address,Geocode
"89 Rue du Faubourg Poissonni�re, 75009 Paris France","{""lat"": 48.8767672, ""lng"": 2.3486461}"
"5 Rue Mouton Duvernet, 75014 Paris France","{""lat"": 48.831505, ""lng"": 2.3291751}"
"avenue Paul Vaillant Couturier, 93330 Neuilly-sur-Marne France","{""lat"": 48.865716, ""lng"": 2.5640689}"
"34 Rue des Petits Carreaux, 75002 Paris France","{""lat"": 48.8677511, ""lng"": 2.3474256}"
"6 Rue Pierre Chausson, 75010 Paris France","{""lat"": 48.875607, ""lng"": 2.366399}"
"19 Rue de Picardie, 75003 Paris France","{""lat"": 48.8636998, ""lng"": 2.3626132}"
"37 Boulevard du Montparnasse, 75006 Paris France","{""lat"": 48.844962, ""lng"": 2.321223}"
"5 Rue Bernard Palissy, 75006 Paris France","{""lat"": 48.8531509, ""lng"": 2.3319721}"
"23 Rue Ramey, 75018 Paris France","{""lat"": 48.888329, ""lng"": 2.346736}"
"5 Rue Paul Albert, 75018 Paris France","{""lat"": 48.8865906, ""lng"": 2.3450029}"
"44 rue Mouffetard, 75005 Paris France","{""lat"": 48.8435778, ""lng"": 2.3494137}"
"27 Rue de Sambre et  Meuse, 75010 Paris France","{""lat"": 48.8746829, ""lng"": 2.3727046}"
"16 rue Eugene Jumin, 75019 Paris France","{""lat"": 48.8873296, ""lng"": 2.3925129}"
"6 rue Robert Estienne, 75008 Paris France","{""lat"": 48.8686746, ""lng"": 2.3050081}"
Paris France,"{""lat"": 48.8588897, ""lng"": 2.320041}"
"10 rue des Capucines, 75002 Paris France","{""lat"": 48.8688361, ""lng"": 2.3296197}"
"0 Avenue Trudaine Angle avenue Trudaine et rue de Rochechouart, 75009 Paris France","{""lat"": 48.881357, ""lng"": 2.34334}"
"121 Avenue Du Maine, 75014 Paris France","{""lat"": 48.835533, ""lng"": 2.323977}"
"13 rue Rougemont, 75009 Paris France","{""lat"": 48.872013, ""lng"": 2.345903}"
"13 rue de la Huchette Quartier latin, 75005 Paris France","{""lat"": 48.852892, ""lng"": 2.345919}"
"27 boulevard des Batignolles, 75008 Paris France","{""lat"": 48.8826233, ""lng"": 2.3239751}"
"6 rue Popincourt, 75011 Paris France","{""lat"": 48.858269, ""lng"": 2.369981}"
"212 B boulevard Pereire, 75017 Paris France","{""lat"": 48.87969, ""lng"": 2.287}"
"37 Rue Lamarck, 75018 Paris France","{""lat"": 48.8892927, ""lng"": 2.3416023}"
"16 rue Jacquemont, 75017 Paris France","{""lat"": 48.8878286, ""lng"": 2.3224481}"
"38 rue Jacob, 75006 Paris France","{""lat"": 48.8556729, ""lng"": 2.3336172}"
"8 rue Boutebrie, 75005 Paris France","{""lat"": 48.8514978, ""lng"": 2.3446064}"
"2 Rue Germain Pilon, 75018 Paris France","{""lat"": 48.884083, ""lng"": 2.336732}"
"15 rue Trousseau, 75011 Paris France","{""lat"": 48.851904, ""lng"": 2.378806}"
"3 avenue des Gobelins, 75005 Paris France","{""lat"": 48.8384187, ""lng"": 2.3510318}"
"110 Bis Avenue Kleber, 75116 Paris France","{""lat"": 48.8646631, ""lng"": 2.2881416}"
"148, Rue de Vaugirard, 75015 Paris France","{""lat"": 48.8437699, ""lng"": 2.3150925}"
"15, rue de l'Arc de Triomphe, 75017 Paris France","{""lat"": 48.8770819, ""lng"": 2.2935069}"
"32 Rue Catherine De La Rochefoucauld, 75009 Paris France","{""lat"": 48.8791711, ""lng"": 2.3348244}"
"160 avenue du Maine, 75014 Paris France","{""lat"": 48.8334146, ""lng"": 2.3243479}"
"1 Rue Des Grands Degr�s, 75005 Paris France","{""lat"": 48.851225, ""lng"": 2.350079}"
"25 Cour Saint Emilion, 75012 Paris France","{""lat"": 48.8329642, ""lng"": 2.3862318}"
"18 rue des Haies, 75020 Paris France","{""lat"": 48.852632, ""lng"": 2.400422}"
"47 rue Gay Lussac, 75005 Paris France","{""lat"": 48.8417454, ""lng"": 2.3434754}"
"12, Rue La Fayette, 75009 Paris France","{""lat"": 48.8733626, ""lng"": 2.3346942}"
"121 Rue De Rome, 75017 Paris France","{""lat"": 48.88484, ""lng"": 2.317515}"
"12 Rue Buffault, 75009 Paris France","{""lat"": 48.875571, ""lng"": 2.341954}"
"13 Rue Quincampoix, 75004 Paris France","{""lat"": 48.8596175, ""lng"": 2.3497537}"
"58 Rue Marguerite De Rochechouart, 75009 Paris France","{""lat"": 48.880562, ""lng"": 2.346519}"
"27 rue Descartes 75005, 75005 Paris France","{""lat"": 48.8459423, ""lng"": 2.3491893}"
"16 Rue de Lancry � l'angle de la rue de Lancry et de la rue Ch�teau d'eau, 75010 Paris France","{""lat"": 48.869988, ""lng"": 2.360649}"
"49 Avenue Trudaine, 75009 Paris France","{""lat"": 48.880676, ""lng"": 2.341139}"
"117, Boulevard de Grenelle M�tro la motte picquet grenelle, 75015 Paris France","{""lat"": 48.848981, ""lng"": 2.298192}"
"46 Rue Condorcet, 75009 Paris France","{""lat"": 48.880267, ""lng"": 2.343546}"
"76 rue du Faubourg Poissonniere, 75010 Paris France","{""lat"": 48.876382, ""lng"": 2.348598}"
"99 Rue de Rivoli, 75001 Paris France","{""lat"": 48.862734, ""lng"": 2.334836}"
"Jardin des Tuileries - C�t� Seine Place de la Concorde, 75058 Paris France","{""lat"": 14.610918, ""lng"": -61.083595}"
"Avenue Winston Churchill, 75008 Paris France","{""lat"": 48.8675162, ""lng"": 2.3139892}"
"53 Avenue des Terroirs de France, 75012 Paris France","{""lat"": 48.832652, ""lng"": 2.389319}"
"5 Avenue, 75007 Paris France","{""lat"": 48.8500163, ""lng"": 2.3077488}"
"1 Rue Botzaris, 75019 Paris France","{""lat"": 48.876473, ""lng"": 2.381017}"
"6 Parvis Notre-Dame Place Jean-Paul II, 75004 Paris France","{""lat"": 48.852974, ""lng"": 2.349908}"
"Avenue des Champs Elysees, 75008 Paris France","{""lat"": 48.8683219, ""lng"": 2.3121977}"
"79 Rue de Varenne close to Bois de Boulogne, 75007 Paris France","{""lat"": 48.856016, ""lng"": 2.315423}"
"2 Rue Louis Boilly 16�me  Arrondissement, 75016 Paris France","{""lat"": 48.859228, ""lng"": 2.267162}"
"8 Boulevard de Menilmontant, 75020 Paris France","{""lat"": 48.868729, ""lng"": 2.393689}"
"Place St-Germain-des-Pres, 75006 Paris France","{""lat"": 48.8539125, ""lng"": 2.333392}"
"35 Rue du Chevalier-De-La-Barre, 75018 Paris France","{""lat"": 48.8871037, ""lng"": 2.3434393}"
"Place de la Concorde, 75001 Paris France","{""lat"": 48.866374, ""lng"": 2.3233842}"
"Pont Alexandre III Quai d'Orsay, 75008 Paris France","{""lat"": 48.8629614, ""lng"": 2.3143913}"
"129 Rue de Grenelle H�tel National des Invalides, 75007 Paris France","{""lat"": 48.857037, ""lng"": 2.311878}"
"1 Rue De La L�gion d'Honneur, 75007 Paris France","{""lat"": 48.859562, ""lng"": 2.328966}"
"8 Boulevard du Palais, 75001 Paris France","{""lat"": 48.855037, ""lng"": 2.345356}"
"Place des Vosges 4th Arrondissement, 75004 Paris France","{""lat"": 48.8555957, ""lng"": 2.3655335}"
"Rue de M�dicis Rue de Vaugirard, 75006 Paris France","{""lat"": 48.848054, ""lng"": 2.330386}"
"Place Charles de Gaulle Place de L'�toile, 75008 Paris France","{""lat"": 48.866615, ""lng"": 2.314882}"
"63 Rue de Monceau, 75008 Paris France","{""lat"": 48.8788507, ""lng"": 2.3128807}"
"�le de la Cit� Palais de la Cit�, 75001 Paris France","{""lat"": 48.8592, ""lng"": 2.3417}"
"Quartier Latin, 75005 Paris France","{""lat"": 48.8487414, ""lng"": 2.3420502}"
"37 Rue de la B�cherie Latin Quarter, 75005 Paris France","{""lat"": 48.8525876, ""lng"": 2.3471495}"
"21 Rue de Rottembourg, 75012 Paris France","{""lat"": 48.838493, ""lng"": 2.406549}"
"15 rue du Maine 14th, 75014 Paris France","{""lat"": 48.8405711, ""lng"": 2.3223132}"
"1 Jardin des Tuileries, 75001 Paris France","{""lat"": 48.8592, ""lng"": 2.3417}"
"1 Place du Canada, 75008 Paris France","{""lat"": 48.865003, ""lng"": 2.309747}"
"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France","{""lat"": 48.844323, ""lng"": 2.335227}"
"5 avenue Anatole France � proximit� du pilier nord de la Tour Eiffel, 75007 Paris France","{""lat"": 48.85972, ""lng"": 2.328455}"
"Place Pierre Lafue, 75006 Paris France","{""lat"": 48.8447513, ""lng"": 2.3290787}"
"Rue du Rivoli Jardin des Tuileries, 75001 Paris France","{""lat"": 48.862492, ""lng"": 2.335972}"
Tout afficher,Non g�ocod�
Tout afficher,Non g�ocod�
"Place Saint-Augustin, 75008 Paris France","{""lat"": 48.8754356, ""lng"": 2.3193897}"
"6 Place de Bitche, 75019 Paris France","{""lat"": 48.889145, ""lng"": 2.379497}"
"12 rue de Laborde, 75008 Paris France","{""lat"": 48.875801, ""lng"": 2.320944}"
"Avenue des Champs-�lys�es, 75008 Paris France","{""lat"": 48.8683219, ""lng"": 2.3121977}"
"148 avenue Gambetta 20th Arrondissement, 75020 Paris France","{""lat"": 48.875414, ""lng"": 2.406164}"
"57 rue de Grenelle, 75007 Paris France","{""lat"": 48.8546964, ""lng"": 2.3251441}"
"1341 Quai de l'H�tel de ville, 75004 Paris France","{""lat"": 48.8557923, ""lng"": 2.3514182}"
"55 Boulevard de Menilmontant, 75011 Paris France","{""lat"": 48.861921, ""lng"": 2.387629}"
"Parc de Saint-Cloud,Saint-Cloud Domaine national de Saint-Cloud, 92210 Paris France","{""lat"": 48.844491, ""lng"": 2.219865}"
"8 rue Bernard de Clairvaux, 75003 Paris France","{""lat"": 48.862259, ""lng"": 2.3526688}"
"Place du Trocadero, 75016 Paris France","{""lat"": 48.862963, ""lng"": 2.28714}"
"8 Rue L�on Schwartzenberg, 75010 Paris France","{""lat"": 48.875626, ""lng"": 2.353756}"
"56 rue d Aubervilliers rue Riquet, 75018 Paris France","{""lat"": 48.891155, ""lng"": 2.368731}"
"57 rue de Varenne, 75007 Paris France","{""lat"": 48.8547142, ""lng"": 2.3207362}"
Tout afficher,Non g�ocod�
"3 Square Rapp, 75007 Paris France","{""lat"": 48.8588023, ""lng"": 2.301207}"
"66 avenue du Maine, 75014 Paris France","{""lat"": 48.839213, ""lng"": 2.3215071}"
"Rue de la Tombe Issoire, 75014 Paris France","{""lat"": 48.8303386, ""lng"": 2.3342216}"
"14 rue du Mont-Cenis, 75108 Paris France","{""lat"": 48.8875669, ""lng"": 2.3415434}"
"17 boulevard de Strasbourg, 75010 Paris France","{""lat"": 48.87047, ""lng"": 2.3546823}"
adress,"{""lat"": 55.7542079, ""lng"": 37.6062406}"
"7Bis Rue Girardon, 75018 Paris France","{""lat"": 48.8880356, ""lng"": 2.3377697}"
"69 boulevard Saint Michel � l'int�rieur du Jardin du Luxembourg, 75005 Paris France","{""lat"": 48.843335, ""lng"": 2.359261}"
"117 rue Rambuteau Forum des Halles, 75001 Paris France","{""lat"": 48.863065, ""lng"": 2.345397}"
"Square Santiago du Chili - 1 avenue de la Motte Picquet, 75007 Paris France","{""lat"": 48.857476, ""lng"": 2.310915}"
"77 Place Felix Lobligeois, 75017 Paris France","{""lat"": 48.886824, ""lng"": 2.317581}"
"39 boulevard de la Tour Maubourg, 75007 Paris France","{""lat"": 48.8590406, ""lng"": 2.3102693}"
"23 Place Etienne Pernet, 75015 Paris France","{""lat"": 48.84298, ""lng"": 2.292399}"
"45 rue Madame Sixth Arrondissement, 75006 Paris France","{""lat"": 48.848632, ""lng"": 2.331752}"
"Rue de Valois Galerie d'Orl�ans, 75001 Paris France","{""lat"": 48.864849, ""lng"": 2.338422}"
"3 rue de Lanneau, 75005 Paris France","{""lat"": 48.8482531, ""lng"": 2.3467131}"
